name,brand,category,price_min,price_max,origin,source_url,info,ingredient,amount,unit
# ============================================================
#  תבנית להזנת מוצרים לקטלוג VitaMEn
#
#  איך משתמשים:
#  1. מוחקים את כל שורות ההערה (כל שורה שמתחילה ב-#).
#  2. לכל מוצר: שורה אחת לכל רכיב. שם+מותג זהים = אותו מוצר.
#  3. ממלאים name / brand / price_min מהתווית או מדף המוצר.
#  4. עמודות ingredient / unit כבר נכונות - אפשר להשאיר.
#
#  כלל הזהב: היחידות חייבות להיות עקביות בין כל המוצרים,
#  אחרת מנוע החפיפה לא יסכם את אותו רכיב משני מוצרים שונים.
#  ויטמין D תמיד mcg. אם על התווית כתוב IU:  mcg = IU / 40
#  (1000 IU = 25 mcg | 2000 IU = 50 mcg | 4000 IU = 100 mcg)
#
#  שמות הרכיבים באנגלית ובדיוק כפי שמופיע כאן - כך הם מזוהים
#  מול טבלת הספים ב-dosage-reference.ts.
# ============================================================
#
# --- ויטמין D ---
,,vitamin,,,israel,,,Vitamin D,25,mcg
#
# --- ויטמין C ---
,,vitamin,,,israel,,,Vitamin C,500,mg
#
# --- מולטי-ויטמין (מוצר אחד, כמה שורות) ---
,,vitamin,,,israel,,,Vitamin C,60,mg
,,vitamin,,,israel,,,Vitamin D,10,mcg
,,vitamin,,,israel,,,Vitamin E,15,mg
,,vitamin,,,israel,,,Vitamin B6,2,mg
,,vitamin,,,israel,,,Vitamin B12,2.4,mcg
,,vitamin,,,israel,,,Folate,400,mcg
,,vitamin,,,israel,,,Zinc,11,mg
#
# --- מגנזיום ---
,,sleep,,,israel,,,Magnesium,200,mg
#
# --- ברזל ---
,,mineral,,,israel,,,Iron,18,mg
#
# --- אבץ ---
,,mineral,,,israel,,,Zinc,15,mg
#
# --- סידן + ויטמין D ---
,,mineral,,,israel,,,Calcium,500,mg
,,mineral,,,israel,,,Vitamin D,10,mcg
#
# --- אומגה 3 ---
,,omega,,,abroad,,,Omega-3,1000,mg
#
# --- חומצה פולית ---
,,vitamin,,,israel,,,Folate,400,mcg
#
# --- ויטמין B12 ---
,,vitamin,,,israel,,,Vitamin B12,1000,mcg
#
# --- קומפלקס אנרגיה / קפאין ---
,,energy,,,israel,,,Caffeine,200,mg
#
# --- סלניום ---
,,mineral,,,abroad,,,Selenium,200,mcg
#
# --- יוד ---
,,mineral,,,israel,,,Iodine,150,mcg
